date,tickets,WindSpeed,Precipitation,Snow,Temperature,holidays,weekdays,pickup
2015-08-28,35022.0,2.46,0.0,0.0,72.5,0,1,107281.0
2015-08-29,20574.0,2.01,0.0,0.0,77.0,0,1,115870.0
2015-08-30,8438.0,4.03,0.13,0.0,81.0,0,0,106992.0
2015-08-31,31661.0,4.47,0.0,0.0,83.5,0,0,88985.0
2015-09-01,36668.0,2.24,0.0,0.0,83.0,0,1,93927.0
2015-09-02,33635.0,1.79,0.0,0.0,82.5,0,1,100137.0
2015-09-03,37634.0,2.01,0.0,0.0,83.5,0,1,108439.0
2015-09-04,35398.0,6.93,0.0,0.0,78.5,0,1,111431.0
2015-09-05,21668.0,4.03,0.0,0.0,75.0,0,1,108418.0
2015-09-06,8914.0,1.34,0.0,0.0,76.0,0,0,101574.0
2015-09-07,5618.0,4.25,0.0,0.0,81.0,1,0,91693.0
2015-09-08,36446.0,4.92,0.0,0.0,86.5,1,0,106365.0
2015-09-09,32363.0,3.8,0.0,0.0,83.0,0,1,123545.0
2015-09-10,31432.0,6.26,1.58,0.0,74.5,0,1,158591.0
2015-09-11,33878.0,5.14,0.0,0.0,73.5,0,1,136785.0
2015-09-12,22529.0,4.25,0.29,0.0,74.0,0,1,156618.0
2015-09-13,9006.0,6.26,0.04,0.0,71.0,0,0,127284.0
2015-09-14,29211.0,6.49,0.0,0.0,68.0,0,0,95754.0
2015-09-15,30721.0,2.24,0.0,0.0,73.0,0,1,105273.0
2015-09-16,31390.0,1.34,0.0,0.0,77.0,0,1,121743.0
2015-09-17,36443.0,2.24,0.0,0.0,78.5,0,1,130854.0
2015-09-18,35489.0,2.01,0.0,0.0,77.5,0,1,137755.0
2015-09-19,23888.0,2.68,0.0,0.0,75.5,0,1,151313.0
2015-09-20,9011.0,7.83,0.0,0.0,71.5,0,0,126278.0
2015-09-21,33584.0,7.61,0.0,0.0,66.0,0,0,98087.0
2015-09-22,38641.0,6.93,0.0,0.0,66.5,0,1,96618.0
2015-09-23,29437.0,2.91,0.0,0.0,69.5,0,1,94159.0
2015-09-24,21108.0,4.25,0.0,0.0,71.0,0,1,101813.0
2015-09-25,21016.0,6.26,0.0,0.0,69.5,0,1,115779.0
2015-09-26,20225.0,6.04,0.0,0.0,66.5,0,1,147991.0
2015-09-27,7915.0,4.92,0.0,0.0,63.5,0,0,123198.0
2015-09-28,26529.0,3.36,0.0,0.0,71.5,0,0,96280.0
2015-09-29,28212.0,2.68,0.11,0.0,77.5,0,1,110040.0
2015-09-30,30594.0,8.28,1.26,0.0,69.0,0,1,125901.0
2015-10-01,37759.0,8.72,0.09,0.0,60.0,0,1,138828.0
2015-10-02,27743.0,12.53,1.08,0.0,52.5,0,1,175806.0
2015-10-03,22586.0,11.41,0.35,0.0,52.0,0,1,150977.0
2015-10-04,9498.0,10.74,0.0,0.0,58.0,0,0,117562.0
2015-10-05,29762.0,6.26,0.0,0.0,59.5,0,0,92258.0
2015-10-06,31855.0,1.57,0.0,0.0,62.5,0,1,101132.0
2015-10-07,34193.0,2.91,0.0,0.0,65.5,0,1,115152.0
2015-10-08,36979.0,3.36,0.0,0.0,65.5,0,1,128800.0
2015-10-09,34439.0,4.03,0.89,0.0,69.5,0,1,143933.0
2015-10-10,21250.0,2.46,0.0,0.0,57.5,0,1,149789.0
2015-10-11,9129.0,3.8,0.0,0.0,61.0,0,0,129040.0
2015-10-12,22910.0,3.8,0.0,0.0,66.5,1,0,96324.0
2015-10-13,37464.0,3.58,0.01,0.0,66.5,1,0,107158.0
2015-10-14,34365.0,3.8,0.0,0.0,63.0,0,1,114191.0
2015-10-15,36865.0,4.03,0.0,0.0,57.5,0,1,132085.0
2015-10-16,38066.0,5.37,0.0,0.0,58.5,0,1,144830.0
2015-10-17,24646.0,5.82,0.0,0.0,49.0,0,1,165976.0
2015-10-18,9797.0,4.92,0.0,0.0,44.0,0,0,141882.0
2015-10-19,35286.0,3.8,0.0,0.0,44.0,0,0,108122.0
2015-10-20,37509.0,6.04,0.0,0.0,59.0,0,1,110617.0
2015-10-21,29285.0,2.24,0.0,0.0,66.5,0,1,116954.0
2015-10-22,36382.0,4.7,0.0,0.0,66.5,0,1,133105.0
2015-10-23,35240.0,6.71,0.0,0.0,55.0,0,1,147921.0
2015-10-24,21794.0,4.03,0.0,0.0,48.5,0,1,165649.0
2015-10-25,6735.0,4.92,0.05,0.0,58.0,0,0,136822.0
2015-10-26,34151.0,3.8,0.0,0.0,52.0,0,0,104716.0
2015-10-27,36543.0,4.47,0.0,0.0,52.0,0,1,115089.0
2015-10-28,21192.0,6.71,1.4,0.0,61.0,0,1,158761.0
2015-10-29,36019.0,6.49,0.04,0.0,65.0,0,1,140951.0
2015-10-30,34935.0,5.82,0.0,0.0,54.5,0,1,158501.0
2015-10-31,20424.0,2.91,0.0,0.0,49.0,0,1,185709.0
2015-11-01,7506.0,4.92,0.0,0.0,59.5,0,0,166718.0
2015-11-02,34966.0,2.01,0.0,0.0,58.5,0,0,105952.0
2015-11-03,25799.0,2.46,0.0,0.0,60.0,0,1,107787.0
2015-11-04,34081.0,2.46,0.0,0.0,63.0,0,1,116858.0
2015-11-05,35038.0,2.01,0.01,0.0,63.5,0,1,136607.0
2015-11-06,35562.0,4.7,0.0,0.0,70.0,0,1,142913.0
2015-11-07,23576.0,4.47,0.0,0.0,62.5,0,1,165389.0
2015-11-08,10042.0,3.58,0.0,0.0,51.0,0,0,141373.0
2015-11-09,33715.0,2.01,0.0,0.0,51.0,0,0,106955.0
2015-11-10,29998.0,9.84,0.26,0.0,54.0,0,1,140872.0
2015-11-11,25350.0,4.92,0.43,0.0,53.5,1,1,115967.0
2015-11-12,35686.0,5.59,0.01,0.0,56.0,1,0,137722.0
2015-11-13,33905.0,10.74,0.0,0.0,52.0,0,1,155620.0
2015-11-14,22831.0,7.83,0.0,0.0,45.5,0,1,180591.0
2015-11-15,9596.0,4.7,0.0,0.0,48.5,0,0,144309.0
2015-11-16,32887.0,4.03,0.0,0.0,59.0,0,0,105068.0
2015-11-17,35861.0,6.26,0.0,0.0,46.0,0,1,120905.0
2015-11-18,32037.0,5.14,0.0,0.0,52.0,0,1,128287.0
2015-11-19,30857.0,5.59,1.25,0.0,60.5,0,1,180634.0
2015-11-20,33736.0,5.82,0.0,0.0,55.0,0,1,154165.0
2015-11-21,21687.0,6.49,0.0,0.0,47.5,0,1,173360.0
2015-11-22,8405.0,6.26,0.03,0.0,48.5,0,0,142346.0
2015-11-23,31543.0,5.82,0.0,0.0,38.5,0,0,118987.0
2015-11-24,34263.0,3.8,0.0,0.0,39.0,0,1,126666.0
2015-11-25,30273.0,2.68,0.0,0.0,43.0,0,1,124507.0
2015-11-26,4910.0,2.91,0.0,0.0,50.5,1,1,102605.0
2015-11-27,38785.0,3.8,0.0,0.0,57.5,1,0,89801.0
2015-11-28,17672.0,0.0,0.02,0.0,54.5,0,1,121481.0
2015-11-29,7646.0,0.0,0.0,0.0,43.5,0,0,117919.0
2015-11-30,25217.0,5.59,0.0,0.0,40.0,0,0,109822.0
2015-12-01,25354.0,6.71,0.33,0.0,47.5,0,1,142819.0
2015-12-02,22400.0,2.91,0.14,0.0,51.5,0,1,140014.0
2015-12-03,28812.0,8.5,0.0,0.0,49.5,0,1,146922.0
2015-12-04,26016.0,4.25,0.0,0.0,46.5,0,1,163836.0
2015-12-05,19948.0,2.24,0.0,0.0,45.5,0,1,186299.0
2015-12-06,9151.0,3.36,0.0,0.0,46.0,0,0,155723.0
2015-12-07,25325.0,3.8,0.0,0.0,48.0,0,0,121898.0
2015-12-08,22982.0,4.47,0.0,0.0,45.0,0,1,136810.0
2015-12-09,24593.0,4.25,0.0,0.0,47.5,0,1,140861.0
2015-12-10,27496.0,4.25,0.0,0.0,55.5,0,1,155101.0
2015-12-11,24264.0,4.7,0.0,0.0,55.5,0,1,173277.0
2015-12-12,17748.0,2.01,0.0,0.0,60.5,0,1,198752.0
2015-12-13,8592.0,3.36,0.0,0.0,61.0,0,0,157253.0
2015-12-14,23411.0,4.7,0.33,0.0,60.0,0,0,131059.0
2015-12-15,26932.0,10.51,0.09,0.0,60.5,0,1,134111.0
2015-12-16,22904.0,5.37,0.04,0.0,49.5,0,1,152552.0
2015-12-17,21309.0,4.92,1.21,0.0,54.5,0,1,190213.0
2015-12-18,25014.0,6.71,0.0,0.0,47.5,0,1,187369.0
2015-12-19,17520.0,9.4,0.0,0.0,37.5,0,1,198601.0
2015-12-20,8798.0,6.04,0.0,0.0,38.5,0,0,155162.0
2015-12-21,24512.0,7.16,0.0,0.0,47.5,0,0,115094.0
2015-12-22,24661.0,4.92,0.19,0.0,57.5,0,1,124198.0
2015-12-23,19883.0,3.58,1.55,0.0,58.0,0,1,135585.0
2015-12-24,25193.0,4.47,0.01,0.0,67.5,0,1,103268.0
2015-12-25,3038.0,0.89,0.01,0.0,61.5,1,1,78471.0
2015-12-26,13380.0,8.05,0.0,0.0,53.0,1,0,79503.0
2015-12-27,6894.0,5.82,0.12,0.0,53.5,0,0,95505.0
2015-12-28,23412.0,8.28,0.03,0.0,40.0,0,0,93673.0
2015-12-29,21579.0,6.93,0.45,0.0,40.0,0,1,98031.0
2015-12-30,21687.0,4.03,0.19,0.0,43.0,0,1,107038.0
2015-12-31,23913.0,5.37,0.03,0.0,45.0,0,1,144819.0
2016-01-01,5170.0,7.61,0.0,0.0,38.0,1,1,157223.0
2016-01-02,16604.0,6.71,0.0,0.0,36.0,1,0,115775.0
2016-01-03,7739.0,7.83,0.0,0.0,40.0,0,0,109288.0
2016-01-04,28808.0,8.5,0.0,0.0,25.0,0,0,109814.0
2016-01-05,29549.0,5.14,0.0,0.0,20.0,0,1,120474.0
2016-01-06,29651.0,3.58,0.0,0.0,33.0,0,1,114986.0
2016-01-07,33719.0,2.46,0.0,0.0,38.5,0,1,120736.0
2016-01-08,32426.0,4.25,0.0,0.0,38.5,0,1,136940.0
